"dbn","boro","lat","lon","ontrack_year1_2013","graduation_rate_2013","college_career_rate_2013","student_satisfaction_2013","ontrack_year1_2012","graduation_rate_2012","college_career_rate_2012","student_satisfaction_2012"
"14K561","Brooklyn","40.71503755100048","-73.95464995899965","0.93","0.89","0.67","0.081","0.93","0.91","0.73","0.073"
"14K586","Brooklyn","40.709899960000484","-73.94365993499963","0.74","0.6","0.35","0.073","0.73","0.65","0.46","0.068"
"14K610","Brooklyn","40.72264264000046","-73.95258304499964","0.59","0.45","0.38","0.069","0.59","0.64","0.26","0.062"
"14K685","Brooklyn","40.705765931000485","-73.95572857199966","0.9","0.78","0.34","0.079","0.87","0.68","0.36","0.073"
"15K429","Brooklyn","40.68545180600046","-73.99349146499964","0.88","0.75","0.54","0.069","0.84","0.65","0.49","0.063"
"15K448","Brooklyn","40.679863998000485","-74.00148225799967","0.8","0.87","0.74","0.074","0.89","0.82","0.77","0.071"
"15K462","Brooklyn","40.66959817500049","-73.97925552199968","0.6","0.82","0.53","0.066","0.81","0.81","0.47","0.066"
"15K463","Brooklyn","40.66959817500049","-73.97925552199968","0.77","0.65","0.42","0.066","0.67","0.62","0.46","0.063"
"15K464","Brooklyn","40.66959817500049","-73.97925552199968","0.8","0.39","0.5","0.068","0.66","0.63","0.44","0.066"
"15K497","Brooklyn","40.68545180600046","-73.99349146499964","0.72","0.47","0.52","0.069","0.75","0.7","0.5","0.069"
"15K519","Brooklyn","40.68457913700047","-73.99109316299968","0.83","0.79","0.41","0.078","0.74","0.72","0.32","0.06"
"15K656","Brooklyn","40.683653990000494","-73.98047275099964","0.83","0.83","0.59","0.069","0.86","0.78","0.63","0.064"
"16K393","Brooklyn","40.69213370400047","-73.93150317199962","0.71","0.78","0.19","0.08","0.65","0.51","0.32","0.064"
"16K455","Brooklyn","40.67943304500045","-73.93243176999965","0.55","0.44","0.19","0.076","0.48","0.39","0.21","0.069"
"16K498","Brooklyn","40.68892554200045","-73.92108409899964","0.91","0.59","0.41","0.076","0.84","0.72","0.41","0.064"
"16K594","Brooklyn","40.68045547300045","-73.92219609199964","0.82","0.66","0.31","0.077","0.82","0.62","0.33","0.07"
"17K382","Brooklyn","40.64943967500045","-73.95843119799963","0.78","0.71","0.53","0.066","0.73","0.72","0.41","0.058"
"17K408","Brooklyn","40.64943967500045","-73.95843119799963","0.64","0.46","0.42","0.068","0.83","0.61","0.54","0.063"
"17K524","Brooklyn","40.67029890700047","-73.96164787599963","0.83","0.66","0.43","0.08","0.96","0.57","0.43","0.075"
"17K528","Brooklyn","40.67029890700047","-73.96164787599963","0.83","0.57","0.52","0.071","0.67","0.77","0.32","0.067"
"17K531","Brooklyn","40.6595170060005","-73.94254649899966","0.88","0.7","0.58","0.08","0.79","0.85","0.36","0.074"
"17K533","Brooklyn","40.6595170060005","-73.94254649899966","0.85","0.54","0.44","0.065","0.76","0.68","0.42","0.063"
"17K537","Brooklyn","40.64943967500045","-73.95843119799963","0.83","0.68","0.51","0.069","0.89","0.7","0.32","0.06"
"17K539","Brooklyn","40.64943967500045","-73.95843119799963","0.86","0.71","0.38","0.066","0.83","0.75","0.44","0.062"
"17K543","Brooklyn","40.64943967500045","-73.95843119799963","0.95","0.96","0.97","0.075","0.93","0.99","0.84","0.072"
"17K546","Brooklyn","40.6595170060005","-73.94254649899966","0.93","0.94","0.81","0.079","0.96","0.96","0.82","0.074"
"17K547","Brooklyn","40.67029890700047","-73.96164787599963","0.87","0.64","0.42","0.069","0.8","0.69","0.47","0.064"
"17K548","Brooklyn","40.67029890700047","-73.96164787599963","0.85","0.68","0.4","0.068","0.86","0.74","0.36","0.065"
"17K590","Brooklyn","40.66716208200046","-73.95085795499966","0.92","0.96","0.84","0.077","0.95","0.99","0.76","0.062"
"17K600","Brooklyn","40.67027055700049","-73.96165482399965","0.69","0.72","0.58","0.065","0.66","0.73","0.55","0.06"
"18K563","Brooklyn","40.64866366300049","-73.92189876199967","0.93","0.89","0.79","0.072","0.93","0.86","0.88","0.065"
"18K566","Brooklyn","40.63262743000047","-73.91779798899967","0.73","0.51","0.47","0.073","0.76","0.54","0.35","0.064"
"18K567","Brooklyn","40.63262743000047","-73.91779798899967","0.71","0.63","0.45","0.072","0.72","0.65","0.4","0.062"
"18K569","Brooklyn","40.64866366300049","-73.92189876199967","0.8","0.72","0.53","0.078","0.91","0.77","0.53","0.072"
"18K576","Brooklyn","40.63262743000047","-73.91779798899967","0.86","0.87","0.54","0.076","0.87","0.9","0.43","0.07"
"18K589","Brooklyn","40.65845703000048","-73.92903317399964","0.84","0.45","0.45","0.08","0.73","0.7","0.4","0.065"
"19K404","Brooklyn","40.65752260200048","-73.87477702499967","0.84","0.65","0.49","0.074","0.66","0.71","0.59","0.07"
"19K409","Brooklyn","40.66063702400049","-73.88634164999962","0.86","0.87","0.62","0.07","0.9","0.8","0.52","0.069"
"19K502","Brooklyn","40.66755311100047","-73.89480053699964","0.83","0.65","0.15","0.076","0.72","0.77","0.09","0.068"
"19K504","Brooklyn","40.66755311100047","-73.89480053699964","0.84","0.57","0.24","0.074","0.55","0.62","0.29","0.068"
"19K507","Brooklyn","40.66755311100047","-73.89480053699964","0.85","0.7","0.37","0.073","0.82","0.63","0.38","0.066"
"19K510","Brooklyn","40.66755311100047","-73.89480053699964","0.82","0.65","0.47","0.065","0.72","0.65","0.43","0.059"
"19K583","Brooklyn","40.69114396200047","-73.86842605699962","0.81","0.29","0.25","0.075","0.72","0.35","0.23","0.068"
"19K615","Brooklyn","40.6782307310005","-73.87597301199963","0.53","0.67","0.42","0.06","0.62","0.71","0.49","0.057"
"19K659","Brooklyn","40.69114396200047","-73.86842605699962","0.77","0.47","0.34","0.073","0.72","0.51","0.36","0.071"
"19K660","Brooklyn","40.674224214000446","-73.89645352099967","0.78","0.65","0.3","0.071","0.6","0.67","0.25","0.068"
"20K445","Brooklyn","40.61342449400047","-74.00365376599967","0.77","0.68","0.6","0.071","0.8","0.73","0.57","0.064"
"20K485","Brooklyn","40.63724571600045","-74.02381647299967","0.91","0.83","0.79","0.075","0.9","0.86","0.72","0.071"
"20K490","Brooklyn","40.62791337300047","-74.03995233799964","0.81","0.7","0.58","0.071","0.81","0.66","0.55","0.068"
"20K505","Brooklyn","40.620263373000455","-73.98201099999966","0.7","0.6","0.49","0.071","0.81","0.64","0.47","0.067"
"21K337","Brooklyn","40.59359381100046","-73.98472923199967","0.81","0.5","0.41","0.079","0.94","0.48","0.48","0.075"
"21K344","Brooklyn","40.582116150000445","-73.97289449199963","0.81","0.78","0.52","0.069","0.86","0.62","0.55","0.065"
"21K348","Brooklyn","40.59359381100046","-73.98472923199967","0.79","0.74","0.57","0.075","0.73","0.7","0.59","0.063"
"21K410","Brooklyn","40.58230836300049","-73.96746574699966","0.76","0.67","0.55","0.075","0.78","0.71","0.48","0.071"
"21K525","Brooklyn","40.62050435800046","-73.95923393299967","0.8","0.78","0.76","0.071","0.81","0.8","0.72","0.067"
"21K559","Brooklyn","40.59359381100046","-73.98472923199967","0.85","0.91","0.49","0.07","0.82","0.77","0.43","0.062"
"21K572","Brooklyn","40.59359381100046","-73.98472923199967","0.92","0.75","0.56","0.081","0.92","0.56","0.44","0.071"
"21K620","Brooklyn","40.58254803800048","-73.96371622099963","0.54","0.61","0.38","0.072","0.63","0.65","0.34","0.065"
"21K690","Brooklyn","40.6048770000005","-73.99441715399968","0.78","0.76","0.61","0.07","0.85","0.74","0.6","0.066"
"22K405","Brooklyn","40.63333549400045","-73.95291606399962","0.92","0.85","0.74","0.077","0.89","0.87","0.82","0.073"
"22K425","Brooklyn","40.60975848100048","-73.94845183699965","0.8","0.75","0.6","0.069","0.78","0.71","0.57","0.064"
"22K535","Brooklyn","40.5808471360005","-73.93608856899965","0.96","0.96","0.87","0.078","0.98","0.99","0.89","0.074"
"22K555","Brooklyn","40.64920062700048","-73.97169462099964","0.97","0.97","0.92","0.078","0.99","0.95","0.89","0.072"
"23K493","Brooklyn","40.67413738300047","-73.91349449099965","0.66","0.55","0.49","0.063","0.79","0.71","0.46","0.062"
"23K514","Brooklyn","40.665810912000495","-73.91169964499966","0.68","0.59","0.46","0.066","0.63","0.63","0.42","0.063"
"23K697","Brooklyn","40.665810912000495","-73.91169964499966","0.63","0.73","0.55","0.067","0.78","0.82","0.4","0.067"
"32K403","Brooklyn","40.696961848000456","-73.91081593899963","0.84","0.75","0.37","0.078","0.83","0.65","0.34","0.069"
"32K545","Brooklyn","40.694481845000496","-73.92915352799963","0.77","0.7","0.42","0.076","0.72","0.67","0.47","0.068"
"32K549","Brooklyn","40.696961848000456","-73.91081593899963","0.88","0.55","0.34","0.075","0.7","0.64","0.33","0.066"
"32K552","Brooklyn","40.696961848000456","-73.91081593899963","0.75","0.51","0.28","0.071","0.61","0.51","0.31","0.065"
"32K554","Brooklyn","40.69740779600045","-73.91315346199963","0.97","0.97","0.84","0.091","0.94","0.97","0.77","0.089"
"32K556","Brooklyn","40.69499576300046","-73.92798626699965","0.65","0.7","0.23","0.071","0.63","0.43","0.25","0.064"
"02M580","Manhattan","40.70523493900049","-74.01331503999967","0.71","0.72","0.55","0.07","0.61","0.74","0.41","0.068"
"02M551","Manhattan","40.690787629000454","-74.01975732599965","0.9","0.71","0.71","0.073","0.77","0.86","0.54","0.069"
"02M545","Manhattan","40.71686722400045","-73.98953194299963","0.98","0.98","0.88","0.076","0.96","0.93","0.95","0.071"
"02M543","Manhattan","40.71686722400045","-73.98953194299963","0.73","0.85","0.58","0.076","0.9","0.79","0.48","0.073"
"02M542","Manhattan","40.76502670800045","-73.99251657799965","0.98","0.82","0.7","0.083","0.92","0.87","0.52","0.072"
"02M531","Manhattan","40.7559425820005","-73.98456770199965","1","0.96","0.61","0.069","0.98","0.91","0.63","0.066"
"02M529","Manhattan","40.75775738600049","-73.98318779299967","0.67","0.66","0.43","0.074","0.75","0.69","0.4","0.068"
"02M520","Manhattan","40.71067947100045","-74.00080702099967","0.56","0.51","0.43","0.061","0.6","0.62","0.42","0.061"
"02M519","Manhattan","40.765445402000466","-73.96021378599966","0.97","0.96","0.81","0.077","0.93","0.96","0.82","0.067"
"02M489","Manhattan","40.70921962500046","-74.01202591499964","0.83","0.75","0.77","0.074","0.87","0.81","0.74","0.067"
"02M475","Manhattan","40.71774641500048","-74.01404904299966","0.99","0.98","0.99","0.077","0.99","0.99","0.99","0.071"
"02M459","Manhattan","40.765445402000466","-73.96021378599966","0.81","0.56","0.55","0.084","0.64","0.64","0.49","0.076"
"02M449","Manhattan","40.765445402000466","-73.96021378599966","0.68","0.75","0.59","0.073","0.81","0.71","0.55","0.071"
"02M439","Manhattan","40.7414946990005","-73.99144505299967","1","0.97","0.83","0.077","0.98","0.98","0.77","0.072"
"02M425","Manhattan","40.70914653900047","-74.01207662699966","0.75","0.68","0.43","0.072","0.79","0.59","0.49","0.065"
"02M420","Manhattan","40.73248537800049","-73.98305338799963","0.89","0.86","0.77","0.075","0.88","0.88","0.72","0.067"
