"dbn","boro","lat","lon","ontrack_year1_2013","graduation_rate_2013","college_career_rate_2013","student_satisfaction_2013","ontrack_year1_2012","graduation_rate_2012","college_career_rate_2012","student_satisfaction_2012"
"26Q415","Queens","40.75239242400045","-73.75608335799967","0.82","0.87","0.73","0.066","0.88","0.84","0.76","0.063"
"26Q430","Queens","40.74055571400049","-73.79284814599964","0.92","0.86","0.77","0.082","0.92","0.89","0.79","0.075"
"26Q435","Queens","40.73281710900045","-73.73965041299965","0.76","0.53","0.4","0.06","0.72","0.56","0.45","0.057"
"26Q495","Queens","40.771867242000496","-73.78038695199967","0.97","0.92","0.77","0.078","0.95","0.91","0.73","0.08"
"26Q566","Queens","40.744904361000465","-73.72690964199967","0.82","0.9","0.74","0.069","0.89","0.89","0.7","0.066"
"27Q260","Queens","40.601989336000486","-73.76283432299965","0.79","0.52","0.4","0.066","0.46","0.7","0.55","0.062"
"27Q262","Queens","40.58600718700046","-73.82308944399966","0.89","0.86","0.61","0.079","0.95","0.91","0.72","0.076"
"27Q323","Queens","40.58413137400049","-73.82568121199967","0.98","1","0.94","0.086","1","0.99","0.97","0.081"
"27Q400","Queens","40.67552680900047","-73.78343251299964","0.31","0.39","0.24","0.06","0.57","0.41","0.3","0.068"
"27Q475","Queens","40.6956492220005","-73.83358480499965","0.73","0.58","0.39","0.066","0.81","0.6","0.35","0.062"
"27Q480","Queens","40.679831401000456","-73.83832266399963","0.78","0.52","0.4","0.066","0.77","0.54","0.39","0.065"
"27Q650","Queens","40.68939682600046","-73.84064100099965","0.97","0.98","0.82","0.069","0.96","0.96","0.82","0.067"
"28Q440","Queens","40.729431572000465","-73.84562907299966","0.88","0.86","0.69","0.072","0.88","0.86","0.66","0.07"
"28Q505","Queens","40.70875755500049","-73.80212748599968","0.83","0.72","0.56","0.084","0.86","0.71","0.55","0.069"
"28Q620","Queens","40.71587626100046","-73.79882238899967","0.93","0.84","0.71","0.072","0.9","0.86","0.69","0.068"
"28Q680","Queens","40.718810094000446","-73.80650045499965","1","0.97","0.83","0.069","0.98","0.94","0.9","0.067"
"28Q687","Queens","40.7009987670005","-73.79815352399964","1","0.99","0.84","0.085","0.97","0.98","1","0.07"
"28Q690","Queens","40.68617808300047","-73.78408297499965","0.65","0.76","0.58","0.066","0.71","0.71","0.55","0.061"
"29Q492","Queens","40.69553633600049","-73.73491834199967","0.87","0.69","0.55","0.066","0.88","0.77","0.56","0.072"
"29Q498","Queens","40.69553633600049","-73.73491834199967","0.78","0.74","0.51","0.071","0.83","0.78","0.48","0.061"
"30Q445","Queens","40.75812467500049","-73.91033330899967","0.83","0.66","0.44","0.068","0.75","0.63","0.43","0.065"
"30Q450","Queens","40.765763938000475","-73.93272598499965","0.79","0.59","0.4","0.068","0.79","0.56","0.43","0.063"
"30Q501","Queens","40.75652807400047","-73.92514064399967","0.97","0.94","0.85","0.071","0.99","0.97","0.88","0.068"
"30Q502","Queens","40.74792352300045","-73.94656565899965","0.78","0.67","0.57","0.069","0.75","0.74","0.52","0.063"
"30Q555","Queens","40.751380834000486","-73.93744971899963","0.77","0.7","0.45","0.075","0.9","0.67","0.44","0.068"
"30Q575","Queens","40.751300578000496","-73.93742387699967","0.93","0.92","0.87","0.077","0.89","0.88","0.85","0.07"
"30Q580","Queens","40.75517483300047","-73.92682361399966","1","0.98","0.92","0.083","1","0.97","0.92","0.078"
"29Q248","Queens","40.66823228800047","-73.75683989399965","0.91","0.67","0.36","0.064","0.86","0.57","0.43","0.062"
"29Q259","Queens","40.706387658000494","-73.75353002199967","0.74","0.75","0.51","0.072","0.76","0.78","0.59","0.063"
"29Q265","Queens","40.66823228800047","-73.75683989399965","0.89","0.83","0.46","0.07","0.75","0.77","0.42","0.063"
"29Q272","Queens","40.66823228800047","-73.75683989399965","0.81","0.8","0.5","0.065","0.8","0.76","0.42","0.06"
"29Q283","Queens","40.66823228800047","-73.75683989399965","0.84","0.8","0.62","0.072","0.85","0.83","0.41","0.069"
"31R605","Staten Island","40.567913003000456","-74.11536224299965","1","1","1","0.085","1","1","0.9","0.081"
"31R600","Staten Island","40.642741044000445","-74.07871106299967","0.81","0.6","0.44","0.07","0.77","0.67","0.46","0.068"
"31R460","Staten Island","40.59865238600048","-74.12310475899966","0.87","0.81","0.69","0.074","0.85","0.78","0.74","0.069"
"31R455","Staten Island","40.528228767000485","-74.19215369799963","0.9","0.83","0.66","0.078","0.87","0.85","0.65","0.072"
"31R450","Staten Island","40.64474490100048","-74.08134127399967","0.78","0.79","0.51","0.069","0.79","0.74","0.48","0.064"
"31R440","Staten Island","40.5691824270005","-74.10730080799965","0.81","0.73","0.51","0.068","0.77","0.76","0.53","0.066"
"31R445","Staten Island","40.63384298700049","-74.14210688899965","0.7","0.61","0.42","0.066","0.69","0.63","0.48","0.062"
"31R047","Staten Island","40.58202202600046","-74.15784841899966","0.91","0.97","0.95","0.076","0.95","0.97","0.82","0.069"
"31R080","Staten Island","40.60745302400045","-74.10148222999965","0.9","0.92","0.79","0.08","0.88","0.9","0.68","0.07"
